"ID";"global_id";"AdmArea";"District";"Address";"RegionOfFair";"PeriodOfPlacement";"Goods";"geoData";
"112";"933942509";"Юго-Восточный административный округ";"район Люблино";"город Москва, Краснодарская улица, дом 57, корпус 1";"Псковская область";"21.08.2019-28.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.766164, 55.676494]}";
"35";"933942510";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Курская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"228";"933942511";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Беларусь";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"29";"933942512";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Рязанская область";"21.08.2019-27.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"228";"933942513";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Мордовия";"11.08.2019-17.08.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"34";"1006074172";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Липецкая область";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
"29";"1006074173";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Республика Беларусь";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"28";"1006074174";"Восточный административный округ";"район Новогиреево";"город Москва, Зелёный проспект, дом 81";"Карачаево-Черкесская Республика";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.819555420158196, 55.751808551299625]}";
"228";"1006074175";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Ивановская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"228";"1006074176";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Республика Кыргызстан";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"29";"1006074177";"Юго-Западный административный округ";"район Черёмушки";"город Москва, Нахимовский проспект, дом 51/21";"Рязанская область";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.563965045981625, 55.67718930594285]}";
"35";"1006074178";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Московская область";"11.09.2019-17.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"35";"1006074179";"Южный административный округ";"район Царицыно";"город Москва, Пролетарский проспект, дом 18";"Владимирская область";"21.09.2019-27.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.656693306607316, 55.634940316808425]}";
"228";"1006074180";"Южный административный округ";"район Бирюлёво Западное";"город Москва, Булатниковский проезд, дом 6, корпус 1";"Брянская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.65150946051868, 55.59314080704914]}";
"34";"1006074181";"Восточный административный округ";"район Гольяново";"город Москва, Уральская улица, дом 4";"Ивановская область";"01.09.2019-07.09.2019";"сельскохозяйственные, продовольственные и промышленные товары";"{type=Point, coordinates=[37.79885072650054, 55.81108099001607]}";
